,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[35.26052444],True,0,0,70.05665379774884,[39.21113735 19.04058564],[37.7931349  12.34417393],[40.76046534 28.16970005],"[array([[31.60939859, 43.26543529, 10.90061242]]), 0.45956801221531407]","[0, 0.7801764297007989]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914755e+04 4.71723294e+01 4.30439765e+01 4.28344453e+05
 2.05838528e-04]",30,1,Newsvendor_BICO_RESULTS
1,[35.28764118],True,0,0,70.10174034700925,[39.25593358 18.72385351],[38.01945143 12.82834366],[40.50260399 30.03883116],"[array([[32.92577078, 43.13426403,  4.04665247]]), 0.4558597663529582]","[0, 0.7051869324438975]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914756e+04 4.71717646e+01 4.30444087e+01 4.28344453e+05
 2.79074039e-04]",30,1,Newsvendor_BICO_RESULTS
2,[35.31531267],True,0,0,70.14759240321271,[39.30232609 18.41979206],[37.99117427 12.29095764],[40.69161682 29.85832465],"[array([[31.15312295, 43.3291124 ,  1.17939065]]), 0.4586598393549366]","[0, 1.4724186391727825]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914759e+04 4.71720059e+01 4.30442902e+01 4.28344453e+05
 1.20561501e-04]",30,1,Newsvendor_BICO_RESULTS
3,[35.32792872],True,0,0,70.16844465161883,[39.32335463 18.47499878],[37.89118672 12.08425106],[40.5831711  28.07232647],"[array([[32.74318494, 43.14458138,  7.60572725]]), 0.46043677072552214]","[0, 2.154696503481741]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914761e+04 4.71719244e+01 4.30442655e+01 4.28344453e+05
 1.24637692e-04]",30,1,Newsvendor_BICO_RESULTS
4,[35.34477524],True,0,0,70.19623607998834,[39.35117019 17.08165604],[38.08914455 10.71837032],[40.49069048 25.36718865],"[array([[33.79309402, 43.05141001, 26.51914071]]), 0.4625931263808525]","[0, 2.1905157004459586]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914763e+04 4.71720174e+01 4.30439013e+01 4.28344453e+05
 1.48908186e-04]",30,1,Newsvendor_BICO_RESULTS
5,[35.30692077],True,0,0,70.13370358088703,[39.28737274 16.01807021],[38.31985124 10.86309559],[40.32330922 23.09132926],"[array([[33.79862831, 43.05058649, 10.31395782]]), 0.4605860555017358]","[0, 1.128733499979133]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914764e+04 4.71722526e+01 4.30432580e+01 4.28344453e+05
 1.78006091e-04]",30,1,Newsvendor_BICO_RESULTS
6,[35.28850711],True,0,0,70.10317759514314,[39.2566176  16.47220868],[38.19716262 10.67922306],[40.31771314 25.01950855],"[array([[31.32272873, 43.31146749,  8.35042237]]), 0.45896744564855396]","[0, 3.8522610843158067]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914766e+04 4.71726750e+01 4.30432616e+01 4.28344453e+05
 1.77404874e-04]",30,1,Newsvendor_BICO_RESULTS
7,[35.29526073],True,0,0,70.1143817559023,[39.26816809 15.86074163],[38.17261623 11.64022854],[40.47559435 22.14463245],"[array([[31.68114787, 43.26422828,  8.10708344]]), 0.4586526790154295]","[0, 1.7115310956266372]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914768e+04 4.71723363e+01 4.30443068e+01 4.28344453e+05
 1.48858456e-04]",30,1,Newsvendor_BICO_RESULTS
8,[35.2291906],True,0,0,70.00436798358561,[39.15689844 15.93170892],[38.27327181 11.20950878],[40.24838453 22.56181911],"[array([[31.99194338, 43.22536912, 10.17536756]]), 0.45455868491853835]","[0, 2.105765705547205]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914770e+04 4.71725155e+01 4.30434314e+01 4.28344453e+05
 1.74822389e-04]",30,1,Newsvendor_BICO_RESULTS
9,[35.20572412],True,0,0,69.96507986025608,[39.11787331 14.85549945],[37.92687748 10.75073398],[40.24533273 21.47461411],"[array([[30.99148222, 43.3360895 ,  5.11900913]]), 0.4496500273463795]","[0, 3.392803102829668]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.97914771e+04 4.71724711e+01 4.30435644e+01 4.28344453e+05
 4.59847440e-04]",30,1,Newsvendor_BICO_RESULTS
